method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
corrected,default,0.2851,90.79,1.14,87.94,228
feature_cluster,"(0.05, 8, 1)",1.4452,13.16,5.78,-1.29,228
feature_cluster,"(0.05, 6, 1)",1.4452,13.16,5.78,-1.29,228
feature_cluster,"(0.05, 10, 1)",1.4452,13.16,5.78,-1.29,228
feature_cluster,"(0.05, 4, 1)",1.4452,13.16,5.78,-1.29,228
feature_cluster,"(0.05, 10, 2)",1.4342,9.21,5.74,-5.13,228
feature_cluster,"(0.05, 4, 2)",1.4342,9.21,5.74,-5.13,228
feature_cluster,"(0.05, 8, 2)",1.4342,9.21,5.74,-5.13,228
feature_cluster,"(0.05, 6, 2)",1.4342,9.21,5.74,-5.13,228
y_bin,"(0.05, 4, 1)",1.7336,6.58,6.93,-10.76,228
y_bin,"(0.05, 8, 1)",1.7336,6.58,6.93,-10.76,228
y_bin,"(0.05, 4, 2)",1.7336,6.58,6.93,-10.76,228
y_bin,"(0.05, 6, 1)",1.7336,6.58,6.93,-10.76,228
y_bin,"(0.05, 6, 2)",1.7336,6.58,6.93,-10.76,228
y_bin,"(0.05, 10, 1)",1.7336,6.58,6.93,-10.76,228
y_bin,"(0.05, 8, 2)",1.7336,6.58,6.93,-10.76,228
y_bin,"(0.05, 10, 2)",1.7336,6.58,6.93,-10.76,228
feature_cluster,"(0.08, 8, 2)",1.7796,4.39,7.12,-13.41,228
feature_cluster,"(0.08, 6, 2)",1.7796,4.39,7.12,-13.41,228
feature_cluster,"(0.08, 10, 2)",1.7796,4.39,7.12,-13.41,228
feature_cluster,"(0.08, 4, 2)",1.7796,4.39,7.12,-13.41,228
feature_cluster,"(0.08, 10, 1)",1.8092,4.39,7.24,-13.71,228
feature_cluster,"(0.08, 4, 1)",1.8092,4.39,7.24,-13.71,228
feature_cluster,"(0.08, 8, 1)",1.8092,4.39,7.24,-13.71,228
feature_cluster,"(0.08, 6, 1)",1.8092,4.39,7.24,-13.71,228
y_bin,"(0.08, 4, 1)",1.8739,4.39,7.5,-14.35,228
y_bin,"(0.08, 8, 1)",1.8739,4.39,7.5,-14.35,228
y_bin,"(0.08, 4, 2)",1.8739,4.39,7.5,-14.35,228
y_bin,"(0.08, 6, 1)",1.8739,4.39,7.5,-14.35,228
y_bin,"(0.08, 6, 2)",1.8739,4.39,7.5,-14.35,228
y_bin,"(0.08, 10, 1)",1.8739,4.39,7.5,-14.35,228
y_bin,"(0.08, 8, 2)",1.8739,4.39,7.5,-14.35,228
y_bin,"(0.08, 10, 2)",1.8739,4.39,7.5,-14.35,228
feature_cluster,"(0.12, 4, 2)",1.8673,3.51,7.47,-15.16,228
feature_cluster,"(0.12, 10, 2)",1.8673,3.51,7.47,-15.16,228
feature_cluster,"(0.12, 6, 2)",1.8673,3.51,7.47,-15.16,228
feature_cluster,"(0.12, 8, 2)",1.8673,3.51,7.47,-15.16,228
feature_cluster,"(0.12, 6, 1)",1.8728,3.51,7.49,-15.22,228
feature_cluster,"(0.12, 8, 1)",1.8728,3.51,7.49,-15.22,228
feature_cluster,"(0.12, 4, 1)",1.8728,3.51,7.49,-15.22,228
feature_cluster,"(0.12, 10, 1)",1.8728,3.51,7.49,-15.22,228
y_bin,"(0.12, 10, 2)",1.8882,3.07,7.55,-15.81,228
y_bin,"(0.12, 6, 2)",1.8882,3.07,7.55,-15.81,228
y_bin,"(0.12, 10, 1)",1.8882,3.07,7.55,-15.81,228
y_bin,"(0.12, 8, 2)",1.8882,3.07,7.55,-15.81,228
y_bin,"(0.12, 8, 1)",1.8882,3.07,7.55,-15.81,228
y_bin,"(0.12, 4, 2)",1.8882,3.07,7.55,-15.81,228
y_bin,"(0.12, 6, 1)",1.8882,3.07,7.55,-15.81,228
y_bin,"(0.12, 4, 1)",1.8882,3.07,7.55,-15.81,228
feature_cluster,"(0.15, 4, 2)",1.8904,2.63,7.56,-16.27,228
feature_cluster,"(0.15, 10, 2)",1.8904,2.63,7.56,-16.27,228
feature_cluster,"(0.15, 6, 2)",1.8904,2.63,7.56,-16.27,228
feature_cluster,"(0.15, 8, 2)",1.8904,2.63,7.56,-16.27,228
feature_cluster,"(0.15, 6, 1)",1.8947,2.63,7.58,-16.32,228
feature_cluster,"(0.15, 8, 1)",1.8947,2.63,7.58,-16.32,228
feature_cluster,"(0.15, 4, 1)",1.8947,2.63,7.58,-16.32,228
feature_cluster,"(0.15, 10, 1)",1.8947,2.63,7.58,-16.32,228
y_bin,"(0.15, 10, 2)",1.8969,2.63,7.59,-16.34,228
y_bin,"(0.15, 6, 2)",1.8969,2.63,7.59,-16.34,228
y_bin,"(0.15, 10, 1)",1.8969,2.63,7.59,-16.34,228
y_bin,"(0.15, 8, 2)",1.8969,2.63,7.59,-16.34,228
y_bin,"(0.15, 8, 1)",1.8969,2.63,7.59,-16.34,228
y_bin,"(0.15, 4, 2)",1.8969,2.63,7.59,-16.34,228
y_bin,"(0.15, 6, 1)",1.8969,2.63,7.59,-16.34,228
y_bin,"(0.15, 4, 1)",1.8969,2.63,7.59,-16.34,228
naive,default,2.1294,2.63,8.52,-18.66,228
