method,split,n,acc,mae
adaptive_corrected_v5,test,31,80.65,0.4677
adaptive_corrected_v5,train,196,95.92,0.2462
adaptive_corrected_v5,val,1,100.0,0.5
visibility_v5,test,31,80.65,0.371
visibility_v5,train,196,94.39,0.2487
visibility_v5,val,1,100.0,0.5
stacking_density,test,31,83.87,0.4274
stacking_density,train,196,95.92,0.2449
stacking_density,val,1,100.0,0.5
adaptive_bracketed,test,31,80.65,0.4677
adaptive_bracketed,train,196,95.92,0.2385
adaptive_bracketed,val,1,100.0,0.5
stacking_bracketed,test,31,83.87,0.4274
stacking_bracketed,train,196,95.92,0.2372
stacking_bracketed,val,1,100.0,0.5
ordinal_b3_modulated,test,31,80.65,0.4516
ordinal_b3_modulated,train,196,92.86,0.2691
ordinal_b3_modulated,val,1,100.0,0.25
b3_quadratic,test,31,80.65,0.4435
b3_quadratic,train,196,95.92,0.2538
b3_quadratic,val,1,100.0,0.5
b3_quadratic_bracketed,test,31,80.65,0.4435
b3_quadratic_bracketed,train,196,95.92,0.2462
b3_quadratic_bracketed,val,1,100.0,0.5
v7_combined,test,31,83.87,0.4194
v7_combined,train,196,95.41,0.2449
v7_combined,val,1,100.0,0.5
v7_combined_ordinal,test,31,83.87,0.4355
v7_combined_ordinal,train,196,93.37,0.2755
v7_combined_ordinal,val,1,100.0,0.25
merged_b23_diagnostic,test,31,61.29,0.6129
merged_b23_diagnostic,train,196,43.88,0.9018
merged_b23_diagnostic,val,1,0.0,1.0
